api-1  | INFO:     127.0.0.1:49430 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57000 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59510 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53326 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46146 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48140 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48250 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50476 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39852 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51280 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36718 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45656 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41420 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60806 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40182 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43110 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53880 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37354 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34932 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42112 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50164 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37890 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45650 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:37886 - "GET /config HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51220 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:37894 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56636 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:35220 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41740 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:46890 - "POST /ask HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:57034 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     127.0.0.1:48414 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59144 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36788 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:57198 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     172.19.0.1:57206 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     172.19.0.1:57220 - "POST /ask HTTP/1.1" 422 Unprocessable Entity
api-1  | INFO:     127.0.0.1:36974 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53996 - "GET /health HTTP/1.1" 200 OK
