api-1  | INFO:     Started server process [1]
api-1  | INFO:     127.0.0.1:47258 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44638 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54850 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44128 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59612 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45096 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47378 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49878 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56110 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33702 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43062 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50162 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35648 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     172.19.0.1:35842 - "GET /config HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40142 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58338 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40986 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44246 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:56938 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57466 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54594 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58584 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39198 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58554 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37692 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45878 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45300 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48012 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60622 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60954 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58772 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37426 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50002 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:58130 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35360 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33832 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:52114 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60040 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:46124 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:50782 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35296 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37710 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37198 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48434 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47246 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47574 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42376 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:55228 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33254 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35330 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45526 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39870 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57240 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51856 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38752 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60676 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59734 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:35626 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:34900 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:37516 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59368 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:59646 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:32960 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40798 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:41770 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:42870 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45210 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60556 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36516 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53602 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:49146 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:47584 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53618 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45426 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:44502 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60590 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:53818 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:39434 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:54460 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36754 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:51812 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:33216 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:40584 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:45922 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:36352 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:38408 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:57524 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:60408 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:48208 - "GET /health HTTP/1.1" 200 OK
api-1  | INFO:     127.0.0.1:43168 - "GET /health HTTP/1.1" 200 OK
